"Step","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MIN","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MAX","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MIN","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MAX","experiment_dynamicKAE_e - forward loss","experiment_dynamicKAE_e - forward loss__MIN","experiment_dynamicKAE_e - forward loss__MAX","Maximal eigen-loss without eigen-initialisation - forward loss","Maximal eigen-loss without eigen-initialisation - forward loss__MIN","Maximal eigen-loss without eigen-initialisation - forward loss__MAX"
"27","0.2086997777223587","0.2086997777223587","0.2086997777223587","0.21061666309833527","0.21061666309833527","0.21061666309833527","0.2150297611951828","0.2150297611951828","0.2150297611951828","0.17922177910804749","0.17922177910804749","0.17922177910804749"
"28","0.22662079334259033","0.22662079334259033","0.22662079334259033","0.21048563718795776","0.21048563718795776","0.21048563718795776","0.22688017785549164","0.22688017785549164","0.22688017785549164","0.2169734388589859","0.2169734388589859","0.2169734388589859"
"29","0.2160702645778656","0.2160702645778656","0.2160702645778656","0.20918942987918854","0.20918942987918854","0.20918942987918854","0.2157898247241974","0.2157898247241974","0.2157898247241974","0.19602394104003906","0.19602394104003906","0.19602394104003906"
"30","0.21487507224082947","0.21487507224082947","0.21487507224082947","0.21380111575126648","0.21380111575126648","0.21380111575126648","0.21769237518310547","0.21769237518310547","0.21769237518310547","0.19550934433937073","0.19550934433937073","0.19550934433937073"
"31","0.22399936616420746","0.22399936616420746","0.22399936616420746","0.19974812865257263","0.19974812865257263","0.19974812865257263","0.21494898200035095","0.21494898200035095","0.21494898200035095","0.25244277715682983","0.25244277715682983","0.25244277715682983"
"32","0.21667084097862244","0.21667084097862244","0.21667084097862244","0.2011253833770752","0.2011253833770752","0.2011253833770752","0.2282264232635498","0.2282264232635498","0.2282264232635498","0.18722069263458252","0.18722069263458252","0.18722069263458252"
"33","0.21998734772205353","0.21998734772205353","0.21998734772205353","0.19807694852352142","0.19807694852352142","0.19807694852352142","0.21769385039806366","0.21769385039806366","0.21769385039806366","0.4018913507461548","0.4018913507461548","0.4018913507461548"
"34","0.20935362577438354","0.20935362577438354","0.20935362577438354","0.1959284096956253","0.1959284096956253","0.1959284096956253","0.20739221572875977","0.20739221572875977","0.20739221572875977","0.6913720369338989","0.6913720369338989","0.6913720369338989"
"35","0.20821067690849304","0.20821067690849304","0.20821067690849304","0.20232047140598297","0.20232047140598297","0.20232047140598297","0.21237702667713165","0.21237702667713165","0.21237702667713165","5.983615875244141","5.983615875244141","5.983615875244141"
"36","0.21053601801395416","0.21053601801395416","0.21053601801395416","0.21042929589748383","0.21042929589748383","0.21042929589748383","0.21735650300979614","0.21735650300979614","0.21735650300979614","0.22055552899837494","0.22055552899837494","0.22055552899837494"
